Price,Close,High,Low,Open,Volume,Close_100
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2024-01-02,368.11724853515625,373.1099126361841,364.0476743294386,371.08504585690326,25258600,100.0
2024-01-03,367.8492736816406,370.4895337976216,365.7747900814552,366.27107889368324,23083500,99.9272039398909
2024-01-04,365.208984375,370.3306881427504,364.4447105700396,367.9187319779621,20901500,99.20996253999805
2024-01-05,365.0203857421875,369.29839246247514,363.7796638327987,366.2313315373935,20987000,99.15872923496738
2024-01-08,371.9089050292969,372.41512930069973,366.2710715059576,366.5588972016775,23134000,101.03001326594412
2024-01-09,373.000732421875,373.19922976065686,368.43486955500396,369.2487904298809,20830000,101.32661099314187
2024-01-10,379.92889404296875,381.31852683167966,373.52678708524746,373.5764038458174,25514200,103.20866396638964
2024-01-11,381.775146484375,387.78022915230946,377.5566914705678,383.1349730187258,27850800,103.71020320388882
2024-01-12,385.58660888671875,385.79504169441134,381.79495530873476,382.6287168305684,21645700,104.74559679587905
2024-01-16,387.3732604980469,391.10536207750914,384.74293583850687,390.73811320122354,27202300,105.2309453141671
2024-01-17,386.5791931152344,387.2144270180735,381.95377793571856,385.1002622072083,22234100,105.01523486159464
2024-01-18,390.946533203125,391.0656376681701,387.2243672151433,388.81249742822837,23392100,106.2016340605644
2024-01-19,395.7109069824219,395.7109069824219,390.5792676975653,392.82250266388587,29272000,107.49588848582039
2024-01-22,393.5669860839844,397.6464658141932,390.6686459266767,397.0509131472322,27016900,106.91348684423234
2024-01-23,395.939208984375,396.415657149676,391.0060969711238,392.81259552044173,20525900,107.55790731347967
2024-01-24,399.5720520019531,402.6192726240681,397.4777277230109,398.5596337147809,24867000,108.54477848890932
2024-01-25,401.8648986816406,403.9890293414655,399.54227067121064,401.318993103645,21021200,109.16763620307822
2024-01-26,400.9318542480469,403.15524862311014,399.4429878794264,401.3685908061273,17803300,108.91417227621616
2024-01-29,406.6788635253906,406.9369433742504,401.32885614210204,403.046026159944,24510200,110.47536216889648
2024-01-30,405.5572814941406,409.984169147339,403.4331811629269,409.2000546460513,33477600,110.17068151736137
2024-01-31,394.6289978027344,412.2373454227937,394.261748929001,403.9393807478181,47871100,107.2019850667351
2024-02-01,400.7829895019531,404.97166826278436,398.8176749129533,398.8474510298594,30657700,108.87373278399292
2024-02-02,408.1677551269531,409.5871338016017,400.5646072018857,400.812751597778,28245000,110.87982341255926
2024-02-05,402.63909912109375,408.1082114138597,400.9914166630484,406.8575539393165,25352300,109.37794974924697
2024-02-06,402.4802551269531,404.941858319471,399.9194184137475,402.8673749054602,18382600,109.33479936855366
2024-02-07,410.9767761230469,411.22492054294753,404.3761406119027,404.4158522005855,22340500,111.64290121107908
2024-02-08,411.0362854003906,412.4755350018156,409.4680261585971,410.97673316912403,21225300,111.6590670597538
2024-02-09,417.4284973144531,417.6965126525744,412.0090321031855,412.16784815401843,22032800,113.39552791278334
2024-02-12,412.1777648925781,417.6170705038726,411.67154064674395,417.4384138139534,21202900,111.96915290787142
2024-02-13,403.30413818359375,407.0263041880398,400.3958930819754,401.93437624738726,27824900,109.55860932582111
2024-02-14,407.2022399902344,407.5502906697644,402.3097441795734,405.7901902807103,20401200,110.61753873544598
2024-02-15,404.2886047363281,406.844253795532,402.0312978280853,405.8597944956463,21825500,109.82604220397387
2024-02-16,401.8025817871094,406.00896040801706,401.1860504791686,405.68078706857665,22281100,109.15070765795318
2024-02-20,400.5396728515625,402.2301569631396,395.7863793073486,400.98714055150333,24307900,108.80763518836032
2024-02-21,399.93304443359375,400.0424456526566,395.0007640638113,397.9342947827931,18631100,108.64284301402382
2024-02-22,409.35015869140625,410.52355890092315,406.2873796052456,407.89832401951116,27009900,111.20102639045781
2024-02-23,408.0474853515625,413.53663497455545,406.68514420153736,413.34772439674856,16295900,110.8471518178787
2024-02-26,405.2631530761719,409.8573370805174,405.0841356412257,409.161235720491,16193500,110.09078077401419
2024-02-27,405.2034606933594,406.03876405525716,401.5937362867828,405.7105907380705,14835800,110.07456518426663
2024-02-28,405.4421081542969,407.01326749108915,403.0555227966133,405.8995296806421,13183100,110.13939438254168
2024-02-29,411.3290710449219,411.8859399826613,403.65220029227874,406.35700528147635,31947300,111.73860303523342
2024-03-01,413.17864990234375,413.54657789991296,408.58446615968444,408.97227149463464,17800300,112.24104590222264
2024-03-04,412.6018981933594,415.0183147511929,410.01641805524184,411.1301558754575,17596000,112.08436981293875
2024-03-05,400.4004211425781,411.9356189558388,398.4016714850462,411.64723066506053,26919200,108.76980710246147
2024-03-06,399.8435363769531,402.8963916988926,396.16422633016026,400.7186247093598,22344100,108.61852791958128
2024-03-07,406.8542175292969,407.49062617540716,399.9927424024294,403.8510703441805,18718500,110.52299753632467
2024-03-08,403.95050048828125,408.12704774835913,402.07104511712214,405.6807696131603,17971700,109.73419531296503
2024-03-11,402.2599792480469,403.4135020941874,399.01821315419863,401.50424592249806,16120800,109.27496085792076
2024-03-12,412.9598693847656,413.2482576798519,404.5173119089149,405.3426614260634,22457000,112.18161361035132
2024-03-13,412.7809143066406,415.8436935276916,409.15131229350845,415.76415382654346,17115900,112.13300000182385
2024-03-14,422.8443603515625,425.42984060788893,415.6547423607053,417.89217194553146,34157300,114.86676107522294
2024-03-15,414.0935363769531,420.23900234731536,410.48381179475484,416.9474972557258,45049800,112.48957717269421
2024-03-18,414.9884948730469,418.3794472894522,411.4682638941532,411.93563927933707,20106000,112.73269495640443
2024-03-19,419.0556335449219,419.31419066533897,413.2283569229008,415.4956176064084,19837900,113.83754366644432
2024-03-20,422.85430908203125,423.58021124975613,418.309833763603,419.6423437252515,17860100,114.86946367351419
2024-03-21,426.9711608886719,428.4130720663961,424.7735163679568,427.42858243141376,21296200,115.98781708483156
2024-03-22,426.34466552734375,427.45840335098023,423.6895995276174,427.2993239593862,17636500,115.81762800409136
2024-03-25,420.4975280761719,425.0221260957636,419.2545116444842,422.8642362176382,18060500,114.22923803474347
2024-03-26,419.29425048828125,423.6099994221339,418.99593871636324,423.2321176129861,16725600,113.90236457454057
2024-03-27,419.07550048828125,422.078647436858,416.6690378091358,422.06869359491037,16705000,113.84294057284805
2024-03-28,418.3694763183594,419.5130453021147,416.77840930540117,418.60812574882544,21871200,113.65114728613534
2024-04-01,422.197998046875,425.4994569855789,419.861121076796,421.5814667498927,16316000,114.691175088079
2024-04-02,419.0854797363281,420.02023052369515,415.5055863322716,417.76289325444293,17912000,113.84565146131811
2024-04-03,418.10101318359375,420.8953116547113,416.7485955445773,417.3850345151922,16502300,113.57821858316532
2024-04-04,415.54534912109375,426.2750749166042,415.2370834893159,422.61561166210583,19370900,112.8839658491058
2024-04-05,423.1426696777344,424.1271593253038,415.9829132564958,417.6634738959058,16544300,114.94779757306672
2024-04-08,422.2178649902344,424.89283872354207,420.9350635621418,422.7946415969465,14272400,114.69657199448271
2024-04-09,423.8984069824219,425.35024158359437,419.26443838301043,424.0575167170417,12512300,115.15309556105693
2024-04-10,420.8952941894531,421.6609813438137,417.3551860167775,419.8312648998415,16216600,114.3372922253211
